"Date","MarketReturn","SMB","HML","RF","IBMRet","Today","Yesterday"
19630701,-0.66,0.16,-0.32,0.012,-1.963219512,-0.66,
19630702,0.78,-0.28,0.26,0.012,2.973074627,0.78,-0.66
19630703,0.63,-0.18,-0.1,0.012,0.4710917874,0.63,0.78
19630705,0.4,0.09,-0.29,0.012,0.9495384615,0.4,0.63
19630708,-0.62,0.05,-0.2,0.012,-2.392952381,-0.62,0.4
19630709,0.45,0.01,0.11,0.012,1.451414634,0.45,-0.62
19630710,-0.17,0.16,-0.02,0.012,-0.9735384615,-0.17,0.45
19630711,-0.16,0.19,-0.3,0.012,-0.9828737864,-0.16,-0.17
19630712,-0.13,0.01,-0.11,0.012,-0.5021960784,-0.13,-0.16
19630715,-0.62,0.02,-0.01,0.012,0.4806108374,-0.62,-0.13
19630716,-0.08,-0.11,0.15,0.012,0.4781960784,-0.08,-0.62
19630717,-0.33,-0.15,0.14,0.012,-0.499804878,-0.33,-0.08
19630718,-0.58,0.29,0.05,0.012,-0.9923921569,-0.58,-0.33
19630719,-0.26,-0.01,-0.03,0.012,-0.012,-0.26,-0.58
19630722,-0.65,-0.09,-0.33,0.012,-0.012,-0.65,-0.26
19630723,0,-0.06,-0.21,0.012,-0.507049505,0,-0.65
19630724,0.45,-0.09,-0.04,0.012,0.4855124378,0.45,0
19630725,-0.04,0.04,0.27,0.012,-0.012,-0.04,0.45
19630726,0.34,-0.2,0.08,0.012,0.483049505,0.34,-0.04
19630729,0.1,-0.28,0.24,0.012,0.4806108374,0.1,0.34
19630730,0.83,-0.24,-0.28,0.012,2.438980392,0.83,0.1
19630731,-0.13,0.19,-0.04,0.012,-1.925875598,-0.13,0.83
19630801,-0.08,-0.12,-0.13,0.011,-0.011,-0.08,-0.13
19630802,0.29,-0.23,0.15,0.011,-0.9866097561,0.29,-0.08
19630805,0.56,-0.42,0.15,0.011,1.466832512,0.56,0.29
19630806,0.59,-0.41,0.23,0.011,0.9598737864,0.59,0.56
19630807,-0.18,-0.01,0.2,0.011,-0.9725384615,-0.18,0.59
19630808,0.13,0.03,-0.25,0.011,0.4744368932,0.13,-0.18
19630809,0.59,-0.1,-0.04,0.011,0.9551835749,0.59,0.13
19630812,0.25,0.09,0.44,0.011,0.4674688995,0.25,0.59
19630813,0.26,-0.3,-0.03,0.011,1.893761905,0.26,0.25
19630814,0.31,-0.06,0.18,0.011,0.4562897196,0.31,0.26
19630815,0.42,-0.32,0.39,0.011,-0.4761162791,0.42,0.31
19630816,0.16,0.1,0.09,0.011,-0.4782897196,0.16,0.42
19630819,-0.05,0.07,-0.09,0.011,-0.011,-0.05,0.16
19630820,-0.06,0.05,-0.23,0.011,-1.419450704,-0.06,-0.05
19630821,-0.11,0.37,-0.11,0.011,0.4651904762,-0.11,-0.06
19630822,0.37,0.12,0.1,0.011,0.9368672986,0.37,-0.11
19630823,0.34,-0.04,0.1,0.011,-0.9499671362,0.34,0.37
19630826,0.18,-0.21,0.16,0.011,0.4629336493,0.18,0.34
19630827,-0.42,0.11,-0.09,0.011,-1.897792453,-0.42,0.18
19630828,0.76,-0.04,0.46,0.011,0.4697692308,0.76,-0.42
19630829,0.18,0.14,0.03,0.011,-0.4894688995,0.18,0.76
19630830,0.43,0.1,-0.09,0.011,0.9505384615,0.43,0.18
19630903,0.23,0.1,0.05,0.013,0.4631904762,0.23,0.43
19630904,0.01,0.1,-0.04,0.013,-0.013,0.01,0.23
19630905,0.47,-0.06,0.1,0.013,0.4609336493,0.47,0.01
19630906,-0.26,-0.18,-0.01,0.013,1.873792453,-0.26,0.47
19630909,-0.36,-0.25,0,0.013,-0.475962963,-0.36,-0.26
19630910,0.51,-0.22,0.41,0.013,0.4521162791,0.51,-0.36
19630911,0.25,-0.21,0.2,0.013,-0.475962963,0.25,0.51
19630912,-0.09,0.1,-0.11,0.013,-0.013,-0.09,0.25
19630913,0.03,0.41,-0.18,0.013,-0.013,0.03,-0.09
19630916,-0.14,0.1,0.19,0.013,-0.4781162791,-0.14,0.03
19630917,0.03,-0.15,0.17,0.013,-0.013,0.03,-0.14
19630918,-0.42,0.11,-0.26,0.013,-0.9475794393,-0.42,0.03
19630919,0.53,-0.45,0.19,0.013,0.9303962264,0.53,-0.42
19630920,0.05,-0.04,-0.02,0.013,0.4542897196,0.05,0.53
19630923,-0.5,-0.02,-0.2,0.013,-0.4781162791,-0.5,0.05
19630924,0.34,-0.4,0.14,0.013,1.856158879,0.34,-0.5
19630925,-0.57,-0.3,-0.05,0.013,-0.9304311927,-0.57,0.34
19630926,-0.8,0.52,-0.34,0.013,-1.864851852,-0.8,-0.57
19630927,-0.18,0.32,-0.22,0.013,-0.4846981132,-0.18,-0.8
19630930,-0.59,0.24,0.09,0.013,0.9348672986,-0.59,-0.18
19631001,0.63,-0.25,0.25,0.013,-0.4824835681,0.63,-0.59
19631002,0.1,-0.04,-0.01,0.013,-0.013,0.1,0.63
19631003,0.66,-0.4,0.87,0.013,1.40209434,0.66,0.1
19631004,0.01,0.01,0.06,0.013,0.9172325581,0.01,0.66
19631007,-0.22,0.2,-0.01,0.013,1.830317972,-0.22,0.01
19631008,-0.13,0.03,0.28,0.013,-1.370466063,-0.13,-0.22
19631009,-0.6,0.19,-0.02,0.013,-0.013,-0.6,-0.13
19631010,0.09,0,0.13,0.013,0.4457155963,0.09,-0.6
19631011,0.13,0.37,0.08,0.013,0.9002420091,0.13,0.09
19631014,0.05,0.02,0.07,0.013,1.344466063,0.05,0.13
19631015,0.16,-0.21,0.14,0.013,0.4334285714,0.16,0.05
19631016,0.87,-0.32,0.25,0.013,2.653666667,0.87,0.16
19631017,0.14,0.12,-0.22,0.013,0.4199004329,0.14,0.87
19631018,0.09,0.17,-0.24,0.013,0.4180344828,0.09,0.14
19631021,0.03,-0.06,-0.29,0.013,-0.013,0.03,0.09
19631022,-0.53,0.47,-0.49,0.013,-1.729738197,-0.53,0.03
19631023,0.03,-0.06,-0.05,0.013,-0.4496812227,0.03,-0.53
19631024,0.35,-0.17,0.46,0.013,-0.013,0.35,0.03
19631025,0.82,-0.23,-0.9,0.013,1.741385965,0.82,0.35
