"Name","Rotten Tomatoes Critics Score","Rotten Tomatoes Audience Score","Total Gross","Opening Gross","Opening Screens","Production Budget","Holiday/Summer Release"
"12 Years a Slave",96,90,56671993,6675731,1144,20000000,0
"2 Guns",63,67,75612460,27059130,3025,61000000,1
"21 and Over",27,47,25682380,8754168,2771,13000000,0
"42",86,73,95020213,27487144,3003,40000000,0
"47 Ronin",14,49,38362475,9910310,2689,175000000,1
"A Good Day to Die Hard",14,41,67349198,24834845,3553,92000000,0
"A Haunted House",10,51,40041683,18101682,2160,2500000,0
"About Time",69,81,15322921,4758070,1200,12000000,1
"Admission",38,33,18007317,6154984,2160,13000000,0
"After Earth",11,37,60522097,27520040,3401,130000000,1
"American Hustle",93,74,150117807,19106933,2507,40000000,1
"Anchorman 2: The Legend Continues",75,53,125168368,26232425,3507,50000000,1
"Baggage Claim",14,49,21569509,9031102,2027,8500000,0
"Battle of the Year",6,50,8888355,4603177,2008,20000000,0
"Beautiful Creatures",37,33,19452138,7582595,2950,50000000,0
"Before Midnight",98,82,8114627,1382719,897,3000000,1
"Believe",33,37,6206566,2007567,1037,1500000,0
"Black Nativity",48,51,7018189,3669530,1516,17500000,1
"Blue Jasmine",91,77,33405481,3972687,1283,18000000,1
"Broken City",28,41,19701164,8268908,2620,35000000,0
"Bullet to the Head",46,40,9489829,4548201,2404,55000000,0
"Captain Phillips",93,89,107100855,25718314,3020,55000000,0
"Carrie",49,45,35266619,16101552,3157,30000000,0
"Closed Circuit",42,31,5750401,2464931,870,30000000,0
"Cloudy with a Chance of Meatballs 2",70,67,119793567,34017930,4001,78000000,0
"Dallas Buyers Club",93,91,27298285,2687157,666,5000000,1
"Dark Skies",40,49,17418667,8189166,2313,3500000,0
"Dead Man Down",38,47,10895295,5345250,2188,30000000,0
"Delivery Man",39,48,30664106,7944977,3036,22000000,0
"Despicable Me 2",74,85,368061265,83517315,3997,76000000,1
"Don Jon",81,59,24477704,8677009,2422,5500000,0
"Elysium",68,58,93050117,29807393,3284,120000000,0
"Ender's Game",60,66,61737191,27017351,3407,110000000,1
"Enough Said",96,75,17550872,1911256,606,8000000,0
"Epic",64,65,107518682,33531068,3882,100000000,1
"Escape From Planet Earth",33,54,57012977,15891055,3288,40000000,0
"Escape Plan",48,56,25135965,9885732,2883,70000000,0
"Evil Dead",62,63,54239856,25775847,3025,17000000,0
"Fast & Furious 6",36,50,238679850,97375245,3658,160000000,1
"Free Birds",18,45,55750480,15805237,3736,55000000,1
"Frozen",89,86,400738009,67391326,3742,150000000,1
"Fruitvale Station",94,87,16101339,4590219,1064,900000,0
"G.I. Joe: Retaliation",28,49,122523060,40501814,3719,140000000,0
"Gangster Squad",32,57,46000903,17070347,3103,60000000,0
"Getaway",2,35,10501938,4503892,2130,18000000,0
"Gravity",97,80,274092705,55785112,3575,110000000,0
"Grown Ups 2",7,54,133668525,41508572,3491,80000000,1
"Grudge Match",29,47,29807260,7021993,2838,40000000,1
"Hansel & Gretel: Witch Hunters",15,53,55703475,19690956,3372,50000000,0
"Homefront",42,61,20158898,6915241,2570,22000000,1
"Identity Thief",19,54,134506920,34551025,3141,35000000,0
"Insidious Chapter 2",38,58,83586447,40272103,3049,5000000,0
"Instructions Not Included",56,90,44467206,8149289,717,5000000,0
"Iron Man 3",79,79,409013994,174144585,4253,200000000,1
"Jack the Giant Slayer",52,55,65187603,27202226,3525,195000000,0
"Jackass Presents: Bad Grandpa",60,61,102003019,32055177,3336,15000000,0
"Jobs",27,40,16131410,6713900,2381,18000000,0
