"date","revenue"
"1993-04-01",3056
"1993-07-01",3899
"1993-10-01",3629
"1994-01-01",3379
"1994-04-01",3352
"1994-07-01",4342
"1994-10-01",4461
"1995-01-01",4026
"1995-04-01",3854
"1995-07-01",4936
"1995-10-01",4895
"1996-01-01",4442
"1996-04-01",4224
"1996-07-01",5286
"1996-10-01",4687
"1997-01-01",4476
"1997-04-01",4138
"1997-07-01",5075
"1997-10-01",4954
"1998-01-01",4701
"1998-04-01",4457
"1998-07-01",5151
"1998-10-01",4747
"1999-01-01",4458
"1999-04-01",4400
"1999-07-01",5335
"1999-10-01",5139
"2000-01-01",4410
"2000-04-01",4256
"2000-07-01",5487
"2000-10-01",5413
"2001-01-01",4733
"2001-04-01",3959
"2001-07-01",4653
"2001-10-01",4695
"2002-01-01",4238
"2002-04-01",4079
"2002-07-01",5368
"2002-10-01",5322
"2003-01-01",4795
"2003-04-01",4502
"2003-07-01",5695
"2003-10-01",5671
"2004-01-01",4989
"2004-04-01",5078
"2004-07-01",5914
"2004-10-01",5596
"2005-01-01",5154
"2005-04-01",5206
"2005-07-01",6310
"2005-10-01",6037
"2006-01-01",5551
"2006-04-01",5226
"2006-07-01",6476
"2006-10-01",6454
"2007-01-01",5932
"2007-04-01",6103
"2007-07-01",7733
"2007-10-01",7690
"2008-01-01",7331
"2008-04-01",7379
"2008-07-01",9046
"2008-10-01",8393
"2009-01-01",7126
"2009-04-01",7369
"2009-07-01",8267
"2009-10-01",8044
"2010-01-01",7310
