"date","GM"
1987-09-01,-0.035326
1987-09-02,-0.008451
1987-09-03,0
1987-09-04,-0.009943
1987-09-08,-0.010043
1987-09-09,-0.005797
1987-09-10,0.002915
1987-09-11,0.001453
1987-09-14,0.029028
1987-09-15,-0.011284
1987-09-16,-0.001427
1987-09-17,-0.002857
1987-09-18,-0.020057
1987-09-21,-0.005848
1987-09-22,0.017647
1987-09-23,-0.00289
1987-09-24,-0.018841
1987-09-25,-0.001477
1987-09-28,-0.016272
1987-09-29,-0.001504
1987-09-30,0
1987-10-01,0.01506
1987-10-02,-0.020772
1987-10-05,-0.013636
1987-10-06,-0.016897
1987-10-07,-0.021875
1987-10-08,-0.025559
1987-10-09,-0.022951
1987-10-12,-0.008389
1987-10-13,0.020305
1987-10-14,-0.031509
1987-10-15,-0.02911
1987-10-16,-0.068783
1987-10-19,-0.210227
1987-10-20,0.146283
1987-10-21,0.041841
1987-10-22,-0.068273
1987-10-23,-0.008621
1987-10-26,-0.034783
1987-10-27,0.06982
1987-10-28,-0.025263
1987-10-29,0.021598
1987-10-30,-0.010571
1987-11-02,0.002137
1987-11-03,0.002132
1987-11-04,0.025532
1987-11-05,0.018672
1987-11-06,-0.022869
1987-11-09,-0.012766
1987-11-10,-0.010776
1987-11-11,0.006536
1987-11-12,0.045455
1987-11-13,-0.022774
1987-11-16,0.016949
1987-11-17,-0.004167
1987-11-18,0.020921
1987-11-19,-0.028689
1987-11-20,0.023207
1987-11-23,-0.008247
1987-11-24,-0.004158
1987-11-25,-0.010438
1987-11-27,-0.012658
1987-11-30,-0.036325
