date,housing.starts
1959-01-01,1535
1960-01-01,1256
1961-01-01,1312
1962-01-01,1459
1963-01-01,1588
1964-01-01,1540
1965-01-01,1469
1966-01-01,1167
1967-01-01,1285
1968-01-01,1504
1969-01-01,1487
1970-01-01,1435
1971-01-01,2036
1972-01-01,2361
1973-01-01,2044
1974-01-01,1332
1975-01-01,1160
1976-01-01,1535
1977-01-01,1962
1978-01-01,2001
1979-01-01,1717
1980-01-01,1300
1981-01-01,1096
1982-01-01,1057
1983-01-01,1705
1984-01-01,1766
1985-01-01,1741
1986-01-01,1812
1987-01-01,1631
1988-01-01,1488
1989-01-01,1382
1990-01-01,1203
1991-01-01,1009
1992-01-01,1201
1993-01-01,1292
1994-01-01,1446
1995-01-01,1361
1996-01-01,1469
1997-01-01,1475
1998-01-01,1621
1999-01-01,1647
2000-01-01,1573
2001-01-01,1601
2002-01-01,1710
2003-01-01,1854
2004-01-01,1950
2005-01-01,2073
2006-01-01,1812
2007-01-01,1342
2008-01-01,900
2009-01-01,554
2010-01-01,586
2011-01-01,612
2012-01-01,784
2013-01-01,928
2014-01-01,1001
2015-01-01,1108
2016-01-01,1176
