"date","rupee"
"7/1/2002",48.86
"7/2/2002",48.87
"7/3/2002",48.83
"7/5/2002",48.86
"7/8/2002",48.84
"7/9/2002",48.82
"7/10/2002",48.82
"7/11/2002",48.81
"7/12/2002",48.8
"7/15/2002",48.85
"7/16/2002",48.83
"7/17/2002",48.81
"7/18/2002",48.82
"7/19/2002",48.75
"7/22/2002",48.73
"7/23/2002",48.72
"7/24/2002",48.7
"7/25/2002",48.71
"7/26/2002",48.71
"7/29/2002",48.76
"7/30/2002",48.74
"7/31/2002",48.69
"8/1/2002",48.68
"8/2/2002",48.68
"8/5/2002",48.67
"8/6/2002",48.73
"8/7/2002",48.7
"8/8/2002",48.68
"8/9/2002",48.67
"8/12/2002",48.64
"8/13/2002",48.62
"8/14/2002",48.63
"8/15/2002",48.63
"8/16/2002",48.6
"8/19/2002",48.61
"8/20/2002",48.59
"8/21/2002",48.56
"8/22/2002",48.55
"8/23/2002",48.55
"8/26/2002",48.55
"8/27/2002",48.53
"8/28/2002",48.6
"8/29/2002",48.54
"8/30/2002",48.52
"9/3/2002",48.5
"9/4/2002",48.48
"9/5/2002",48.5
"9/6/2002",48.57
"9/9/2002",48.52
"9/10/2002",48.52
"9/11/2002",48.48
"9/12/2002",48.48
"9/13/2002",48.47
"9/16/2002",48.43
"9/17/2002",48.45
"9/18/2002",48.43
"9/19/2002",48.44
"9/20/2002",48.46
"9/23/2002",48.44
"9/24/2002",48.42
"9/25/2002",48.43
"9/26/2002",48.43
"9/27/2002",48.4
"9/30/2002",48.4
"10/1/2002",48.39
"10/2/2002",48.39
"10/3/2002",48.38
"10/4/2002",48.38
"10/7/2002",48.35
"10/8/2002",48.39
"10/9/2002",48.34
"10/10/2002",48.38
"10/11/2002",48.36
"10/15/2002",48.36
"10/16/2002",48.41
"10/17/2002",48.42
"10/18/2002",48.44
"10/21/2002",48.38
"10/22/2002",48.39
"10/23/2002",48.35
"10/24/2002",48.42
"10/25/2002",48.41
"10/28/2002",48.45
"10/29/2002",48.41
"10/30/2002",48.35
"10/31/2002",48.39
"11/1/2002",48.36
"11/4/2002",48.36
"11/5/2002",48.35
"11/6/2002",48.36
"11/7/2002",48.34
"11/8/2002",48.29
"11/12/2002",48.3
"11/13/2002",48.3
"11/14/2002",48.29
"11/15/2002",48.23
"11/18/2002",48.23
"11/19/2002",48.23
"11/20/2002",48.25
"11/21/2002",48.21
"11/22/2002",48.22
"11/25/2002",48.23
"11/26/2002",48.24
"11/27/2002",48.27
"11/29/2002",48.36
"12/2/2002",48.32
"12/3/2002",48.28
"12/4/2002",48.23
"12/5/2002",48.27
"12/6/2002",48.24
"12/9/2002",48.24
"12/10/2002",48.24
"12/11/2002",48.18
"12/12/2002",48.22
"12/13/2002",48.2
"12/16/2002",48.18
"12/17/2002",48.16
"12/18/2002",48.15
"12/19/2002",48.11
"12/20/2002",48.03
"12/23/2002",48.03
"12/24/2002",48.04
"12/26/2002",48.05
"12/27/2002",48.01
"12/30/2002",47.96
"12/31/2002",48
"1/2/2003",48.05
"1/3/2003",48.03
"1/6/2003",48.01
"1/7/2003",48
"1/8/2003",48
"1/9/2003",47.96
"1/10/2003",48
"1/13/2003",47.96
"1/14/2003",47.95
"1/15/2003",47.97
"1/16/2003",47.96
"1/17/2003",47.96
"1/21/2003",47.97
"1/22/2003",47.93
"1/23/2003",47.92
"1/24/2003",47.9
"1/27/2003",48.1
"1/28/2003",47.92
"1/29/2003",47.83
"1/30/2003",47.85
"1/31/2003",47.83
"2/3/2003",47.8
"2/4/2003",47.82
"2/5/2003",47.77
"2/6/2003",47.8
"2/7/2003",47.72
"2/10/2003",47.69
"2/11/2003",47.7
"2/12/2003",47.89
"2/13/2003",47.87
"2/14/2003",47.92
"2/18/2003",47.75
"2/19/2003",47.7
"2/20/2003",47.65
"2/21/2003",47.65
"2/24/2003",47.74
"2/25/2003",47.74
"2/26/2003",47.67
"2/27/2003",47.66
"2/28/2003",47.66
"3/3/2003",47.7
"3/4/2003",47.85
"3/5/2003",47.8
"3/6/2003",47.63
"3/7/2003",47.8
"3/10/2003",47.7
"3/11/2003",47.64
"3/12/2003",47.65
"3/13/2003",47.66
"3/14/2003",47.66
"3/17/2003",47.68
"3/18/2003",47.68
"3/19/2003",47.72
"3/20/2003",47.75
"3/21/2003",47.66
"3/24/2003",47.68
"3/25/2003",47.64
"3/26/2003",47.64
"3/27/2003",47.59
"3/28/2003",47.55
"3/31/2003",47.53
"4/1/2003",47.45
"4/2/2003",47.4
"4/3/2003",47.43
"4/4/2003",47.44
"4/7/2003",47.44
"4/8/2003",47.46
"4/9/2003",47.45
"4/10/2003",47.4
"4/11/2003",47.38
"4/14/2003",47.44
"4/15/2003",47.36
"4/16/2003",47.38
"4/17/2003",47.34
"4/18/2003",47.34
"4/21/2003",47.38
"4/22/2003",47.34
"4/23/2003",47.35
"4/24/2003",47.36
"4/25/2003",47.37
"4/28/2003",47.35
"4/29/2003",47.37
"4/30/2003",47.37
"5/1/2003",47.35
"5/2/2003",47.35
"5/5/2003",47.3
"5/6/2003",47.28
"5/7/2003",47.28
"5/8/2003",47.25
"5/9/2003",47.2
"5/12/2003",47.18
"5/13/2003",47.15
"5/14/2003",47.15
"5/15/2003",47.13
"5/16/2003",47.12
"5/19/2003",46.99
"5/20/2003",46.95
"5/21/2003",46.9
"5/22/2003",46.91
"5/23/2003",46.87
"5/27/2003",46.85
"5/28/2003",46.98
"5/29/2003",47.05
"5/30/2003",47.07
"6/2/2003",47.15
"6/3/2003",46.95
"6/4/2003",46.85
"6/5/2003",46.84
"6/6/2003",46.88
"6/9/2003",46.87
"6/10/2003",46.79
"6/11/2003",46.7
"6/12/2003",46.73
"6/13/2003",46.7
"6/16/2003",46.66
"6/17/2003",46.59
"6/18/2003",46.62
"6/19/2003",46.61
"6/20/2003",46.57
"6/23/2003",46.66
"6/24/2003",46.57
"6/25/2003",46.58
"6/26/2003",46.57
"6/27/2003",46.4
"6/30/2003",46.4
"7/1/2003",46.49
"7/2/2003",46.36
"7/3/2003",46.4
"7/7/2003",46.34
"7/8/2003",46.3
"7/9/2003",46.24
"7/10/2003",46.21
"7/11/2003",46.1
"7/14/2003",46.06
"7/15/2003",46.13
"7/16/2003",46.23
"7/17/2003",46.23
"7/18/2003",46.29
"7/21/2003",46.27
"7/22/2003",46.15
"7/23/2003",46.16
"7/24/2003",46.15
"7/25/2003",46.15
"7/28/2003",46.15
"7/29/2003",46.13
"7/30/2003",46.15
"7/31/2003",46.15
"8/1/2003",46.18
"8/4/2003",46.15
"8/5/2003",46.14
"8/6/2003",46.05
"8/7/2003",45.98
"8/8/2003",46.01
"8/11/2003",45.99
"8/12/2003",45.89
"8/13/2003",45.95
"8/14/2003",46
"8/15/2003",46
"8/18/2003",45.9
"8/19/2003",45.85
"8/20/2003",45.88
"8/21/2003",45.8
"8/22/2003",45.88
"8/25/2003",45.9
"8/26/2003",45.88
"8/27/2003",45.88
"8/28/2003",45.88
"8/29/2003",45.88
"9/2/2003",45.88
"9/3/2003",45.9
"9/4/2003",45.8
"9/5/2003",45.88
"9/8/2003",45.85
"9/9/2003",45.8
"9/10/2003",45.82
"9/11/2003",45.72
"9/12/2003",45.8
