"vehicle","colour","passing.distance","street","helmet","kerb","datetime","bikelane","city"
"Car","Blue",2.114,"Urban","N",0.5,2006-05-11 16:30:00,"N","Salisbury"
"HGV","Red",0.998,"Urban","N",0.5,2006-05-11 16:30:00,"N","Salisbury"
"LGV","Blue",1.817,"Urban","N",0.5,2006-05-11 16:30:00,"N","Salisbury"
"Car",NA,1.64,"Urban","N",0.5,2006-05-11 16:30:00,"N","Salisbury"
"Bus","Other",1.544,"Urban","N",0.5,2006-05-11 16:30:00,"N","Salisbury"
"Car","Grey",1.509,"Urban","N",0.5,2006-05-11 16:30:00,"N","Salisbury"
"LGV","White",1.29,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","Red",1.512,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Bus","Red",1.049,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"PTW",NA,1.932,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"LGV","White",1.145,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"SUV","White",1.41,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","Blue",1.428,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","Blue",1.494,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","Blue",1.57,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"LGV","White",2.103,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","Red",0.896,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"LGV","White",1.16,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","Grey",1.29,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","White",1.963,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","Grey",2.436,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","Red",2.304,"Main","Y",1,2006-05-12 07:46:00,"N","Salisbury"
"Car","Black",1.482,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"LGV","White",1.492,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Car","Blue",1.432,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Car","Green",1.504,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"PTW",NA,1.046,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Car","Red",1.306,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Taxi","Grey",1.15,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Car","Blue",1.43,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"LGV","White",1.569,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Car","Grey",1.796,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Car","Black",1.51,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"LGV","White",1.493,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Car","Blue",1.261,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"PTW",NA,1.363,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Car","Red",1.242,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"Car","Grey",1.105,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"SUV","Grey",1.548,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"LGV","White",1.178,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"LGV","White",1.742,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"LGV","Red",1.87,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"HGV","White",1.134,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"HGV","Green",0.794,"Main","Y",1,2006-05-12 07:52:00,"N","Salisbury"
"HGV","Other",1.016,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"LGV","Blue",0.973,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"LGV","Black",1.186,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Red",1.549,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Blue",1.172,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Red",1.307,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","White",1.469,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Black",1.651,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"LGV","White",0.916,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Blue",1.408,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","White",1.34,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Red",1.39,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Grey",1.265,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Green",1.44,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Red",1.451,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Red",0.905,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"HGV","White",1.165,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Blue",1.118,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Grey",1.463,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Blue",1.415,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Red",0.809,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Blue",1.335,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Blue",1.656,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"LGV","Red",1.228,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"SUV","Black",1.741,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Blue",1.488,"Main","Y",1,2006-05-12 08:02:00,"N","Salisbury"
"Car","Blue",1.465,"Main","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"Car","Blue",1.611,"Main","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"SUV","Black",1.716,"Main","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"Car","Blue",1.951,"Main","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"Car","Red",1.382,"Main","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"LGV","White",0.914,"OneWay2","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"Car","Red",0.943,"OneWay2","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"Car","Red",2.115,"OneWay2","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"Taxi","Black",1.564,"OneWay2","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"LGV","Grey",1.33,"Urban","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"Car","White",1.469,"Urban","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"PTW","Other",1.819,"Urban","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"LGV","White",1.343,"Urban","Y",1,2006-05-12 08:14:00,"N","Salisbury"
"LGV","Blue",1.292,"Urban","N",1,2006-05-12 08:27:00,"N","Salisbury"
"Car","Blue",1.818,"Urban","N",1,2006-05-12 08:27:00,"N","Salisbury"
"Car","Grey",1.58,"Urban","N",1,2006-05-12 08:27:00,"N","Salisbury"
"Car","Black",1.688,"Urban","N",1,2006-05-12 08:27:00,"N","Salisbury"
"LGV","White",1.289,"Urban","N",1,2006-05-12 08:27:00,"N","Salisbury"
