vehicle,colour,passing distance,street,Time,hour,helmet,kerb,Bikelane,City,date
1,1,2.114,3,16:30,16:00,0,0.5,0,1,11-May
5,2,0.998,3,16:30,16:00,0,0.5,0,1,11-May
2,1,1.817,3,16:30,16:00,0,0.5,0,1,11-May
1,99,1.64,3,16:30,16:00,0,0.5,0,1,11-May
4,9,1.544,3,16:30,16:00,0,0.5,0,1,11-May
1,3,1.509,3,16:30,16:00,0,0.5,0,1,11-May
2,4,1.29,5,7:46,7:00,1,1,0,1,12-May
1,2,1.512,5,7:46,7:00,1,1,0,1,12-May
4,2,1.049,5,7:46,7:00,1,1,0,1,12-May
7,99,1.932,5,7:46,7:00,1,1,0,1,12-May
2,4,1.145,5,7:46,7:00,1,1,0,1,12-May
3,4,1.41,5,7:46,7:00,1,1,0,1,12-May
1,1,1.428,5,7:46,7:00,1,1,0,1,12-May
1,1,1.494,5,7:46,7:00,1,1,0,1,12-May
1,1,1.57,5,7:46,7:00,1,1,0,1,12-May
2,4,2.103,5,7:46,7:00,1,1,0,1,12-May
1,2,0.896,5,7:46,7:00,1,1,0,1,12-May
2,4,1.16,5,7:46,7:00,1,1,0,1,12-May
1,3,1.29,5,7:46,7:00,1,1,0,1,12-May
1,4,1.963,5,7:46,7:00,1,1,0,1,12-May
1,3,2.436,5,7:46,7:00,1,1,0,1,12-May
1,2,2.304,5,7:46,7:00,1,1,0,1,12-May
1,5,1.482,5,7:52,7:00,1,1,0,1,12-May
2,4,1.492,5,7:52,7:00,1,1,0,1,12-May
1,1,1.432,5,7:52,7:00,1,1,0,1,12-May
1,6,1.504,5,7:52,7:00,1,1,0,1,12-May
7,99,1.046,5,7:52,7:00,1,1,0,1,12-May
1,2,1.306,5,7:52,7:00,1,1,0,1,12-May
6,3,1.15,5,7:52,7:00,1,1,0,1,12-May
1,1,1.43,5,7:52,7:00,1,1,0,1,12-May
2,4,1.569,5,7:52,7:00,1,1,0,1,12-May
1,3,1.796,5,7:52,7:00,1,1,0,1,12-May
1,5,1.51,5,7:52,7:00,1,1,0,1,12-May
2,4,1.493,5,7:52,7:00,1,1,0,1,12-May
1,1,1.261,5,7:52,7:00,1,1,0,1,12-May
7,99,1.363,5,7:52,7:00,1,1,0,1,12-May
1,2,1.242,5,7:52,7:00,1,1,0,1,12-May
1,3,1.105,5,7:52,7:00,1,1,0,1,12-May
3,3,1.548,5,7:52,7:00,1,1,0,1,12-May
2,4,1.178,5,7:52,7:00,1,1,0,1,12-May
2,4,1.742,5,7:52,7:00,1,1,0,1,12-May
2,2,1.87,5,7:52,7:00,1,1,0,1,12-May
5,4,1.134,5,7:52,7:00,1,1,0,1,12-May
5,6,0.794,5,7:52,7:00,1,1,0,1,12-May
5,9,1.016,5,8:02,8:00,1,1,0,1,12-May
2,1,0.973,5,8:02,8:00,1,1,0,1,12-May
2,5,1.186,5,8:02,8:00,1,1,0,1,12-May
1,2,1.549,5,8:02,8:00,1,1,0,1,12-May
1,1,1.172,5,8:02,8:00,1,1,0,1,12-May
1,2,1.307,5,8:02,8:00,1,1,0,1,12-May
1,4,1.469,5,8:02,8:00,1,1,0,1,12-May
1,5,1.651,5,8:02,8:00,1,1,0,1,12-May
2,4,0.916,5,8:02,8:00,1,1,0,1,12-May
1,1,1.408,5,8:02,8:00,1,1,0,1,12-May
1,4,1.34,5,8:02,8:00,1,1,0,1,12-May
1,2,1.39,5,8:02,8:00,1,1,0,1,12-May
1,3,1.265,5,8:02,8:00,1,1,0,1,12-May
1,6,1.44,5,8:02,8:00,1,1,0,1,12-May
1,2,1.451,5,8:02,8:00,1,1,0,1,12-May
1,2,0.905,5,8:02,8:00,1,1,0,1,12-May
5,4,1.165,5,8:02,8:00,1,1,0,1,12-May
1,1,1.118,5,8:02,8:00,1,1,0,1,12-May
1,3,1.463,5,8:02,8:00,1,1,0,1,12-May
1,1,1.415,5,8:02,8:00,1,1,0,1,12-May
1,2,0.809,5,8:02,8:00,1,1,0,1,12-May
1,1,1.335,5,8:02,8:00,1,1,0,1,12-May
1,1,1.656,5,8:02,8:00,1,1,0,1,12-May
2,2,1.228,5,8:02,8:00,1,1,0,1,12-May
3,5,1.741,5,8:02,8:00,1,1,0,1,12-May
1,1,1.488,5,8:02,8:00,1,1,0,1,12-May
1,1,1.465,5,8:14,8:00,1,1,0,1,12-May
1,1,1.611,5,8:14,8:00,1,1,0,1,12-May
3,5,1.716,5,8:14,8:00,1,1,0,1,12-May
1,1,1.951,5,8:14,8:00,1,1,0,1,12-May
1,2,1.382,5,8:14,8:00,1,1,0,1,12-May
2,4,0.914,2,8:14,8:00,1,1,0,1,12-May
1,2,0.943,2,8:14,8:00,1,1,0,1,12-May
1,2,2.115,2,8:14,8:00,1,1,0,1,12-May
