"RATING","RECALL","FACTOR","VIOLENT","SEX","NEUTRAL"
"V",1,1,1,2,4
"V",2,1,2,4,1
"V",1,1,1,0,3
"V",2,1,2,0,3
"V",4,1,4,2,1
"V",0,1,0,0,6
"V",2,1,2,2,3
"V",3,1,3,0,4
"V",0,1,0,2,4
"V",2,1,2,3,2
"V",2,1,2,0,5
"V",3,1,3,1,5
"V",0,1,0,0,3
"V",1,1,1,2,2
"V",0,1,0,0,4
"V",0,1,0,0,4
"V",2,1,2,1,4
"V",3,1,3,0,7
"V",0,1,0,3,4
"V",0,1,0,0,2
"V",0,1,0,0,2
"V",2,1,2,3,6
"V",3,1,3,2,5
"V",5,1,5,2,7
"V",3,1,3,1,6
"V",0,1,0,0,7
"V",2,1,2,1,1
"V",3,1,3,1,2
"V",2,1,2,6,2
"V",1,1,1,0,3
"V",2,1,2,2,3
"V",0,1,0,2,4
"V",0,1,0,1,0
"V",3,1,3,2,5
"V",4,1,4,0,3
"V",3,1,3,4,6
"V",4,1,4,1,3
"V",0,1,0,5,1
"V",4,1,4,2,6
"V",1,1,1,6,1
"V",1,1,1,1,3
"V",4,1,4,0,3
"V",0,1,0,3,3
"V",4,1,4,3,0
"V",1,1,1,1,4
"V",5,1,5,0,4
"V",1,1,1,0,3
"V",1,1,1,1,3
"V",2,1,2,4,1
"V",4,1,4,0,3
"V",1,1,1,2,5
"V",6,1,6,0,7
"V",2,1,2,0,0
"V",2,1,2,5,3
"V",4,1,4,2,2
"V",1,1,1,1,3
"V",2,1,2,2,7
"V",4,1,4,3,3
"V",0,1,0,3,1
"V",3,1,3,0,2
"V",3,1,3,2,5
"V",0,1,0,0,1
"V",3,1,3,2,3
"V",1,1,1,3,3
"V",2,1,2,0,2
"V",7,1,7,1,2
"V",2,1,2,2,3
"V",0,1,0,5,3
"V",0,1,0,0,3
"V",3,1,3,1,0
"V",1,1,1,1,0
"V",5,1,5,0,0
"V",4,1,4,1,3
"V",2,1,2,1,2
"V",4,1,4,1,0
"V",0,1,0,1,2
"V",1,1,1,5,3
"V",0,1,0,3,2
"V",1,1,1,0,4
"V",2,1,2,0,6
"V",5,1,5,2,4
"V",2,1,2,0,2
"V",2,1,2,0,0
"V",5,1,5,4,6
"V",0,1,0,3,2
"V",3,1,3,0,1
"V",5,1,5,2,3
"V",5,1,5,2,5
"V",0,1,0,3,2
"V",0,1,0,1,2
"V",6,1,6,1,7
"V",0,1,0,7,5
"V",2,1,2,4,4
"V",0,1,0,3,3
"V",2,1,2,1,3
"V",2,1,2,3,2
"V",1,1,1,0,6
"V",3,1,3,1,2
"V",0,1,0,4,4
"V",4,1,4,0,4
"V",1,1,1,2,1
"V",2,1,2,3,2
"V",3,1,3,4,2
"V",2,1,2,4,5
"V",3,1,3,4,4
"V",0,1,0,0,3
"V",6,1,6,0,4
"V",2,1,2,4,3
"S",2,2,,,
"S",4,2,,,
"S",0,2,,,
"S",0,2,,,
"S",2,2,,,
"S",0,2,,,
"S",2,2,,,
"S",0,2,,,
"S",2,2,,,
"S",3,2,,,
"S",0,2,,,
"S",1,2,,,
"S",0,2,,,
"S",2,2,,,
"S",0,2,,,
"S",0,2,,,
"S",1,2,,,
"S",0,2,,,
"S",3,2,,,
"S",0,2,,,
"S",0,2,,,
"S",3,2,,,
"S",2,2,,,
"S",2,2,,,
"S",1,2,,,
"S",0,2,,,
"S",1,2,,,
"S",1,2,,,
"S",6,2,,,
"S",0,2,,,
"S",2,2,,,
"S",2,2,,,
"S",1,2,,,
"S",2,2,,,
"S",0,2,,,
"S",4,2,,,
"S",1,2,,,
"S",5,2,,,
"S",2,2,,,
"S",6,2,,,
"S",1,2,,,
"S",0,2,,,
"S",3,2,,,
"S",3,2,,,
"S",1,2,,,
"S",0,2,,,
