Timestamp,Video,Audio,Text,Email,Social,Mail,Cell,OS,Computer
9/5/2012 14:25:29,0,35,30,10,30,0,Smartphone,PC,Laptop
9/5/2012 14:51:50,0,60,180,90,90,0,iPhone,Mac,Laptop
9/5/2012 14:57:20,150,700,200,30,60,0,iPhone,Mac,Laptop
9/5/2012 15:40:39,120,50,120,20,80,0,Standard,PC,Laptop
9/5/2012 15:45:28,420,140,210,70,0,0,iPhone,Mac,Laptop
9/5/2012 16:03:56,150,150,40,45,80,5,Blackberry,PC,Laptop
9/5/2012 16:18:08,20,0,350,140,480,0,iPhone,Mac,Laptop
9/5/2012 16:35:05,15,30,120,20,0,15,iPhone,Mac,Laptop
9/5/2012 16:37:55,60,10,180,100,200,0,Smartphone,PC,Desktop
9/5/2012 16:49:39,60,0,240,100,400,0,Smartphone,Mac,Laptop
9/5/2012 16:57:38,50,180,120,20,200,5,Smartphone,PC,Laptop
9/5/2012 17:33:52,1260,300,150,60,1000,0,Blackberry,Mac,Laptop
9/5/2012 17:42:19,60,30,1260,14,1680,2,iPhone,Mac,Laptop
9/5/2012 17:57:36,30,120,400,450,350,0,Standard,PC,Laptop
9/5/2012 18:00:02,20,70,800,200,250,0,Smartphone,PC,Laptop
9/5/2012 18:03:18,20,0,180,300,600,0,Standard,PC,Laptop
9/5/2012 18:20:52,5,40,200,45,250,5,iPhone,Mac,Laptop
9/5/2012 18:37:01,0,50,20,5,80,0,Standard,PC,Laptop
9/5/2012 19:30:23,0,30,60,60,60,0,Smartphone,PC,Laptop
9/5/2012 19:37:56,70,30,400,40,400,0,iPhone,Mac,Laptop
9/5/2012 20:10:32,5,5,30,30,10,0,Smartphone,PC,Laptop
9/5/2012 20:10:45,5,5,30,30,10,0,Smartphone,PC,Laptop
9/5/2012 20:16:02,180,60,420,60,350,0,Blackberry,Mac,Laptop
9/5/2012 20:35:25,30,225,1500,100,140,10,iPhone,PC,Laptop
9/5/2012 20:46:05,20,45,45,10,420,0,iPhone,Mac,Laptop
9/5/2012 20:56:04,30,60,300,10,40,0,iPhone,Mac,Laptop
9/5/2012 20:59:05,75,30,60,20,180,0,iPhone,Mac,Laptop
9/5/2012 21:00:51,60,0,240,15,120,0,iPhone,Mac,Laptop
9/5/2012 21:14:01,30,240,300,150,400,10,Smartphone,Mac,Laptop
9/6/2012 6:10:47,35,240,300,180,120,0,iPhone,Mac,Laptop
9/6/2012 6:49:53,30,60,60,90,120,0,Standard,PC,Laptop
9/6/2012 8:34:26,20,60,180,240,300,5,Smartphone,PC,Laptop
9/6/2012 9:17:13,30,300,120,60,30,0,iPhone,PC,Laptop
9/6/2012 9:34:06,30,180,30,210,300,20,Smartphone,PC,Laptop
9/6/2012 9:41:07,0,40,60,10,140,0,iPhone,PC,Laptop
9/6/2012 11:14:17,140,30,10,20,60,0,Standard,PC,Laptop
9/6/2012 11:57:48,120,180,120,60,120,0,iPhone,Mac,Laptop
9/6/2012 13:13:09,400,60,60,30,150,0,iPhone,Mac,Laptop
9/6/2012 14:22:50,30,70,210,70,10,0,iPhone,Mac,Laptop
9/6/2012 14:25:32,20,30,400,10,100,5,Smartphone,PC,Laptop
9/6/2012 15:03:52,90,210,5040,105,420,0,iPhone,Mac,Laptop
9/6/2012 16:36:09,0,10,180,5,300,0,iPhone,Mac,Laptop
9/6/2012 16:50:52,30,40,80,80,30,0,iPhone,Mac,Laptop
9/6/2012 17:21:12,30,30,120,60,120,0,iPhone,Mac,Laptop
9/6/2012 17:34:30,100,30,280,280,280,0,Blackberry,PC,Laptop
9/6/2012 18:01:35,60,180,180,120,240,0,iPhone,Mac,Laptop
