"timestamp","social.hrs"
2014-09-03 10:40:24,10
2014-09-03 10:41:12,2
2014-09-03 10:59:19,10
2014-09-03 11:14:55,14
2014-09-03 11:20:38,12
2014-09-03 11:24:06,5
2014-09-03 11:53:15,8
2014-09-03 11:53:38,30
2014-09-03 11:53:50,14
2014-09-03 12:27:46,14
2014-09-03 12:38:53,15
2014-09-03 12:41:22,10
2014-09-03 12:42:42,7
2014-09-03 12:59:16,3
2014-09-03 13:20:54,
2014-09-03 13:21:00,22.5
2014-09-03 13:40:57,4
2014-09-03 13:47:39,4
2014-09-03 13:48:52,4
2014-09-03 13:54:26,10
2014-09-03 14:46:41,30
2014-09-03 14:46:50,2.5
2014-09-03 14:56:39,1
2014-09-03 15:24:08,20
2014-09-03 15:31:30,6
2014-09-03 15:38:17,5.5
2014-09-03 15:41:32,5
2014-09-03 15:43:15,5
2014-09-03 15:46:58,9
2014-09-03 15:47:20,3
2014-09-03 16:16:53,2
2014-09-03 16:24:48,5
2014-09-03 17:22:31,
2014-09-03 17:31:43,10
2014-09-03 17:49:37,
2014-09-03 18:04:44,13
2014-09-03 18:09:31,25
2014-09-03 18:24:40,7
2014-09-03 18:27:17,25
2014-09-03 18:27:33,3
2014-09-03 18:55:08,11
2014-09-03 18:55:58,60
2014-09-03 19:57:22,5
2014-09-03 20:01:16,5
2014-09-03 20:20:34,10
2014-09-03 20:26:35,2
2014-09-03 20:31:03,10
2014-09-03 20:48:58,7
2014-09-03 20:58:31,10
2014-09-03 21:17:11,10
2014-09-03 21:28:45,10
2014-09-03 21:37:28,6
2014-09-03 22:44:44,15
2014-09-03 23:08:44,5
2014-09-03 23:18:14,30
2014-09-03 23:23:56,7
2014-09-03 23:32:31,5
2014-09-03 23:39:45,15
2014-09-03 23:40:10,30
2014-09-03 23:46:23,3
2014-09-03 23:53:25,2
2014-09-04 00:03:59,2
2014-09-04 00:20:54,10
2014-09-04 00:23:16,1
